id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B|B	B|CTL	B|HSC	B|HSC-like	B|Mono	B|Mono-like	B|NK	B|Plasma	B|Prog	B|Prog-like	B|T	B|cDC-like	B|earlyEry	B|lateEry	CTL|B	CTL|CTL	CTL|HSC	CTL|HSC-like	CTL|Mono	CTL|Mono-like	CTL|NK	CTL|Plasma	CTL|Prog	CTL|Prog-like	CTL|T	CTL|cDC-like	CTL|earlyEry	CTL|lateEry	HSC|B	HSC|CTL	HSC|HSC	HSC|HSC-like	HSC|Mono	HSC|Mono-like	HSC|NK	HSC|Plasma	HSC|Prog	HSC|Prog-like	HSC|T	HSC|cDC-like	HSC|earlyEry	HSC|lateEry	HSC-like|B	HSC-like|CTL	HSC-like|HSC	HSC-like|HSC-like	HSC-like|Mono	HSC-like|Mono-like	HSC-like|NK	HSC-like|Plasma	HSC-like|Prog	HSC-like|Prog-like	HSC-like|T	HSC-like|cDC-like	HSC-like|earlyEry	HSC-like|lateEry	Mono|B	Mono|CTL	Mono|HSC	Mono|HSC-like	Mono|Mono	Mono|Mono-like	Mono|NK	Mono|Plasma	Mono|Prog	Mono|Prog-like	Mono|T	Mono|cDC-like	Mono|earlyEry	Mono|lateEry	Mono-like|B	Mono-like|CTL	Mono-like|HSC	Mono-like|HSC-like	Mono-like|Mono	Mono-like|Mono-like	Mono-like|NK	Mono-like|Plasma	Mono-like|Prog	Mono-like|Prog-like	Mono-like|T	Mono-like|cDC-like	Mono-like|earlyEry	Mono-like|lateEry	NK|B	NK|CTL	NK|HSC	NK|HSC-like	NK|Mono	NK|Mono-like	NK|NK	NK|Plasma	NK|Prog	NK|Prog-like	NK|T	NK|cDC-like	NK|earlyEry	NK|lateEry	Plasma|B	Plasma|CTL	Plasma|HSC	Plasma|HSC-like	Plasma|Mono	Plasma|Mono-like	Plasma|NK	Plasma|Plasma	Plasma|Prog	Plasma|Prog-like	Plasma|T	Plasma|cDC-like	Plasma|earlyEry	Plasma|lateEry	Prog|B	Prog|CTL	Prog|HSC	Prog|HSC-like	Prog|Mono	Prog|Mono-like	Prog|NK	Prog|Plasma	Prog|Prog	Prog|Prog-like	Prog|T	Prog|cDC-like	Prog|earlyEry	Prog|lateEry	Prog-like|B	Prog-like|CTL	Prog-like|HSC	Prog-like|HSC-like	Prog-like|Mono	Prog-like|Mono-like	Prog-like|NK	Prog-like|Plasma	Prog-like|Prog	Prog-like|Prog-like	Prog-like|T	Prog-like|cDC-like	Prog-like|earlyEry	Prog-like|lateEry	T|B	T|CTL	T|HSC	T|HSC-like	T|Mono	T|Mono-like	T|NK	T|Plasma	T|Prog	T|Prog-like	T|T	T|cDC-like	T|earlyEry	T|lateEry	cDC-like|B	cDC-like|CTL	cDC-like|HSC	cDC-like|HSC-like	cDC-like|Mono	cDC-like|Mono-like	cDC-like|NK	cDC-like|Plasma	cDC-like|Prog	cDC-like|Prog-like	cDC-like|T	cDC-like|cDC-like	cDC-like|earlyEry	cDC-like|lateEry	earlyEry|B	earlyEry|CTL	earlyEry|HSC	earlyEry|HSC-like	earlyEry|Mono	earlyEry|Mono-like	earlyEry|NK	earlyEry|Plasma	earlyEry|Prog	earlyEry|Prog-like	earlyEry|T	earlyEry|cDC-like	earlyEry|earlyEry	earlyEry|lateEry	lateEry|B	lateEry|CTL	lateEry|HSC	lateEry|HSC-like	lateEry|Mono	lateEry|Mono-like	lateEry|NK	lateEry|Plasma	lateEry|Prog	lateEry|Prog-like	lateEry|T	lateEry|cDC-like	lateEry|earlyEry	lateEry|lateEry
CPI-SS00581282E	C5_C5AR1	simple:P01031	simple:P21730	ENSG00000106804	ENSG00000197405	True	False	True	guidetopharmacology.org	False	0.015																																																																																																							0.874	1.03						0.842																																																																																						
CPI-SS0CC5DCE80	CDH1_KLRG1	simple:P12830	simple:Q96E93	ENSG00000039068	ENSG00000139187	False	False	True	curated	False	0.015																																																																																																																																																																																								1.266					1.061		1.179					
CPI-SC08B6B74FB	FN1_a2Bb3 complex	simple:P02751	complex:a2Bb3 complex	ENSG00000115414		True	False	False	curated	True	0.02																																																																																			0.702	1.047																																																																																			0.676	1.021																												
CPI-SC0EB8DC52F	CD47_SIRB1 complex	simple:Q08722	complex:SIRB1 complex	ENSG00000196776		False	True	True	curated	False	0.02					14.82	14.823																																																																																																																																																																																					33.74	33.742								
CPI-SS0AE4CF4E7	ACKR2_CCL5	simple:O00590	simple:P13501	ENSG00000144648	ENSG00000271503	True	True	False	curated	False	0.02																																																																																																																																																																																								5.333					4.92				0.69			0.555
CPI-SS08991B378	CD6_ALCAM	simple:P30203	simple:Q13740	ENSG00000013725	ENSG00000170017	True	False	False	curated	False	0.02																																																																																																																																																0.313	0.258				0.551	0.371																																														
CPI-SS02AB0C3E0	SPP1_CD44	simple:P10451	simple:P16070	ENSG00000118785	ENSG00000026508	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.02																																	0.578	1.057	0.578					0.558																																																																																																																																																												
CPI-SS073C1B796	CD52_SIGLEC10	simple:P31358	simple:Q96LC7	ENSG00000169442	ENSG00000142512	True	False	False	curated	False	0.02												3.23														1.886																																																																						2.651																																																								2.698																																												
CPI-SS0339AE950	SIRPA_CD47	simple:P78324	simple:Q08722	ENSG00000198053	ENSG00000196776	False	True	True	curated	False	0.02																																																									14.892													33.811	14.831													33.75																																																																																																																
CPI-SS002DF6C31	LGALS9_SLC1A5	simple:O00182	simple:Q15758	ENSG00000168961	ENSG00000105281	True	False	True	I2D,InnateDB-All	False	0.02																																																																						0.49														0.478																																																								0.341																												0.428																												
CPI-SS083CBFACD	MDK_SORL1	simple:P21741	simple:Q92673	ENSG00000110492	ENSG00000137642	True	False	True	InnateDB-All	False	0.02																																													0.653			0.412																																																																			0.602														0.623																																																																			
CPI-SC007890A1C	CDH1_aEb7 complex	simple:P12830	complex:aEb7 complex	ENSG00000039068		False	False	False	curated	True	0.026																																																																																																																																																																																							1.008						0.979	1.029			0.859			0.806
CPI-CS0484364A2	BMPR1B_BMPR2_BMP8A	complex:BMPR1B_BMPR2	simple:Q7Z5Y6		ENSG00000183682	True	True	False	curated	False	0.026																																										0.164														0.191																																																								0.152																																																																						0.239														0.155
CPI-SS0DCA69916	TNFRSF13B_TNFSF13	simple:O14836	simple:O75888	ENSG00000240505	ENSG00000161955	True	True	False	curated	False	0.026																																																																																																							0.431	0.476				0.333		0.471		0.352																																																																																				
CPI-SS0B89DD8C1	TNFSF13_TNFRSF17	simple:O75888	simple:Q02223	ENSG00000161955	ENSG00000048462	True	False	True	curated	False	0.026																																																																0.646														0.691																																																								0.547																												0.686																												0.566						
CPI-SS055E061C9	LAMP1_FAM3C	simple:P11279	simple:Q92520	ENSG00000185896	ENSG00000196937	True	True	False	InnateDB-All	False	0.026																																																																0.318														0.304														0.33																																										0.269																												0.335																																		
CPI-SS02A170A99	SPN_SIGLEC1	simple:P16150	simple:Q9BZZ2	ENSG00000197471	ENSG00000088827	True	False	False	curated	False	0.026																																		1.958														1.341																																										1.112																																										1.187																																										1.19																						
CPI-SS0E2863F09	TNFRSF17_TNFSF13B	simple:Q02223	simple:Q9Y275	ENSG00000048462	ENSG00000102524	True	True	False	curated	False	0.031																																																																																																							1.093	1.25			0.598	0.548		0.886		1.756																																																																																				
CPI-SS02A0FF87F	FAM3C_CLEC2D	simple:Q92520	simple:Q9UHP7	ENSG00000196937	ENSG00000069493	True	False	True	IMEx,InnateDB-All,IntAct	False	0.031																																																																																																				0.892					0.779	0.819		0.423	0.594		0.517																																																																																					
CPI-SS044C72D0D	SEMA4A_PLXND1	simple:Q9H3S1	simple:Q9Y4D7	ENSG00000196189	ENSG00000004399	False	False	True	curated	False	0.031																																																																																																					0.45	0.357		0.362		0.512		0.366		0.314																																																																																						
CPI-SS00B1BEE64	CD2_CD58	simple:P06729	simple:P19256	ENSG00000116824	ENSG00000116815	False	True	False	curated	False	0.031																				1.983							1.969																																																															0.931							0.917																																																	0.989							0.975																																											
CPI-SS0B84DAE3D	PVR_CD96	simple:P15151	simple:P40200	ENSG00000073008	ENSG00000153283	True	True	True	curated	False	0.031																																																																																																				1.155		0.496			0.811		0.403	0.435	0.671																																																																																							
CPI-SS03C51D352	TNFRSF13B_TNFSF13B	simple:O14836	simple:Q9Y275	ENSG00000240505	ENSG00000102524	True	True	False	curated	False	0.031																																																																																																							0.879	1.035			0.384	0.333		0.672		1.542																																																																																				
CPI-SS034D36D2F	HLA-C_FAM3C	simple:HLAC	simple:Q92520	ENSG00000204525	ENSG00000196937	True	True	False	InnateDB-All	False	0.031																						3.1																																										2.083														2.297														3.596														2.993																																																								2.31																																		
CPI-SS0C6448B94	IL1B_ADRB2	simple:P01584	simple:P07550	ENSG00000125538	ENSG00000169252	True	False	True	I2D	False	0.031																																			0.369														0.414																												0.37																																																								0.401																												0.376														0.391																					
CPI-CS027D7A724	BMPR1B_BMPR2_GDF7	complex:BMPR1B_BMPR2	simple:Q7Z4P5		ENSG00000143869	True	True	False	curated	False	0.031																																										0.135														0.163																																																								0.123																												0.09																																										0.211														0.126
CPI-SS0C1BD22BC	SPP1_PTGER4	simple:P10451	simple:P35408	ENSG00000118785	ENSG00000171522	True	False	True	IMEx,MINT	False	0.031																															0.492	0.229	0.259	0.373				0.176			0.182																																																																																																																																																											
CPI-SS0A021DB6E	CCL5_CCR1	simple:P13501	simple:P32246	ENSG00000271503	ENSG00000163823	True	False	True	curated	False	0.031																			5.1	5.123						5.084																																																															4.687	4.71						4.671																																																																																																				
CPI-SS025C8F785	CLEC2B_KLRF1	simple:Q92478	simple:Q9NZS2	ENSG00000110852	ENSG00000150045	False	True	True	curated	False	0.031																																																	0.59														0.412														0.629														0.662																																										0.376																												0.559																																			
CPI-SS06D13FCD3	DSC2_DSG2	simple:Q02487	simple:Q14126	ENSG00000134755	ENSG00000046604	False	False	False	curated	False	0.031																																																			0.297	0.185													0.311	0.199																																																																					0.273	0.161																																																												
CPI-SS0EAB03260	CD1D_LILRB2	simple:P15813	simple:Q8N423	ENSG00000158473	ENSG00000131042	False	False	True	curated	False	0.031																																																													0.433	0.632						0.781							0.444	0.643						0.791																																																																																																																		
CPI-SC0200AC9E3	THBS1_a2Bb3 complex	simple:P07996	complex:a2Bb3 complex	ENSG00000137801		False	False	False	curated	True	0.031													0.331	0.676																																																																																																																																																																							0.572	0.916													2.326	2.67
CPI-SS0822AEF5F	PTPRC_MRC1	simple:P08575	simple:P22897	ENSG00000081237	ENSG00000260314	False	False	True	curated	False	0.036																								3.808		3.985																																										2.419												2.615		2.792												3.403		3.58																																																																																																				
CPI-SS042A6F835	IGF2_IGF2R	simple:P01344	simple:P11717	ENSG00000167244	ENSG00000197081	True	False	True	curated	False	0.036																																																																																																																																																																																								0.946			1.129	1.091	0.983	0.904	0.991					1.184
CPI-SS064281234	LAMP1_VSTM1	simple:P11279	simple:Q6UX27	ENSG00000185896	ENSG00000189068	True	True	True	IMEx,IntAct	False	0.036																																															0.162														0.216														0.202														0.229																																										0.167																												0.233														0.192																							
CPI-SS05B1FA8A8	LRP6_CKLF	simple:O75581	simple:Q9UBR5	ENSG00000070018	ENSG00000217555	True	True	False	IMEx,IntAct	False	0.036																														0.36			0.28	0.323	0.322	0.365	0.231	0.233																																																																																																																																																														
CPI-SS056FF4363	CD48_CD244	simple:P09326	simple:Q9BZW8	ENSG00000117091	ENSG00000122223	False	False	True	curated	False	0.036																						0.542						0.557																																																								0.511								0.733						0.748																																																		0.813						0.827																																										
CPI-SC08B2AD7C6	FN1_a5b1 complex	simple:P02751	complex:a5b1 complex	ENSG00000115414		True	False	False	curated	True	0.041																																																																										0.574	0.604					0.545			0.577																																																																											0.549	0.578					0.519			0.552																													
CPI-SS0703338F5	LGALS9_CD44	simple:O00182	simple:P16070	ENSG00000168961	ENSG00000026508	True	False	True	InnateDB	False	0.041																																																1.113														1.26														1.247	0.768																																																							1.111																												1.197														1.108														1.058								
CPI-SS080611C5B	ALOX5_ALOX5AP	simple:P09917	simple:P20292	ENSG00000275565	ENSG00000132965	False	False	False	guidetopharmacology.org	False	0.046																																																										0.387			0.422						0.379					0.44			0.475			0.372			0.432																																																																														0.29						0.247																															
CPI-SS0A83A7E30	TNFSF13_FAS	simple:O75888	simple:P25445	ENSG00000161955	ENSG00000026103	True	False	True	I2D,InnateDB-All	False	0.046																																																									0.295							0.53							0.34							0.575																																																	0.196							0.431																					0.335							0.57																												0.451						
CPI-SS0DEDA3567	TNFSF10_RIPK1	simple:P50591	simple:Q13546	ENSG00000121858	ENSG00000137275	True	False	True	InnateDB-All	False	0.046																																																									1.545		1.338							1.308					2.042		1.836							1.806																																																																											1.513		1.307							1.277																																
CPI-SS006C6537E	MDK_LRP1	simple:P21741	simple:Q07954	ENSG00000110492	ENSG00000123384	True	False	True	I2D,InnateDB-All	False	0.046																																															0.63	0.677						0.467																																																															0.579	0.626						0.417							0.6	0.647						0.437																																																										
CPI-SC0EEF3A379	LAMC1_a6b1 complex	simple:P11047	complex:a6b1 complex	ENSG00000135862		True	False	False	curated	True	0.046																																																																																																																		0.814	0.627	0.413			0.333		0.544	0.321	0.336		0.463	0.843																																																																						
CPI-SC0B4D7E0FF	FN1_a4b7 complex	simple:P02751	complex:a4b7 complex	ENSG00000115414		True	False	False	curated	True	0.051																																																																							0.737						0.707	0.758			0.587			0.535																																																																							0.711						0.682	0.732			0.562			0.509																												
CPI-SS08FAC0A55	PLXNB2_SEMA4D	simple:O15031	simple:Q92854	ENSG00000196576	ENSG00000187764	False	True	True	curated	False	0.051																																																															0.296				0.28						0.275				0.336				0.32																																																																												0.499				0.561	0.43		0.402	0.544																															
CPI-SS09C52F54E	LGALS9_SORL1	simple:O00182	simple:Q92673	ENSG00000168961	ENSG00000137642	True	False	True	InnateDB-All	False	0.051																																																											0.858		0.677	0.617	0.65										0.846		0.664	0.605	0.637																																																				0.709																												0.796																																							
CPI-SC07BE7830D	SPP1_a4b1 complex	simple:P10451	complex:a4b1 complex	ENSG00000118785		True	False	False	curated	True	0.051																													0.884	0.743			0.595	0.732	0.654	2.387			0.943	0.516	0.621	0.615																																																																																																																																																										
CPI-SS00150FB64	HLA-F_LILRB1	simple:P30511	simple:Q8NHL6	ENSG00000204642	ENSG00000277807	True	False	True	curated	False	0.056																				0.934						0.942																																				0.94						0.948								1.054						1.062								1.188		0.95				1.196																																																																0.873						0.881																														
CPI-SS01560CA22	CD99_PILRA	simple:P14209	simple:Q9UKJ1	ENSG00000002586	ENSG00000085514	True	False	True	curated	False	0.056																																															0.564	0.594						0.58																					0.418	0.448						0.434							0.613	0.643						0.629																																				0.437						0.423																																																										
CPI-SS08330207B	BTLA_TNFRSF14	simple:Q7Z6A9	simple:Q92956	ENSG00000186265	ENSG00000157873	False	True	True	guidetopharmacology.org	False	0.056																																																																																																			0.5		0.338	0.299	0.354	0.408	0.392	0.265	0.442		0.345	0.308		0.28																																																																																				
CPI-SS085EE60B1	TGFB1_TGFBR3	simple:P01137	simple:Q03167	ENSG00000105329	ENSG00000069702	True	False	True	curated	False	0.061																0.293					0.492																							0.297					0.496														0.429																							0.34					0.539														0.395														0.388														0.426																																										0.436														0.438							
CPI-SS067BA9202	LAIR1_LILRB4	simple:Q6GTX8	simple:Q8NHJ6	ENSG00000167613	ENSG00000276042	False	True	True	curated	False	0.066																																															0.233	0.252						0.245																					0.227	0.245						0.238																					0.558	0.577		0.495				0.57																					0.221	0.24						0.233																																																										
CPI-SS0F9B3B259	TNFSF13_TNFRSF1A	simple:O75888	simple:P19438	ENSG00000161955	ENSG00000067182	True	False	True	I2D,InnateDB-All	False	0.071																																																														0.386				0.28		0.396						0.319	0.323	0.432				0.325		0.441																																																		0.288																										0.314	0.318	0.427				0.32		0.436																														
CPI-SS0F739D3DB	ANXA1_FPR1	simple:P04083	simple:P21462	ENSG00000135046	ENSG00000171051	True	False	True	guidetopharmacology.org	False	0.071																												1.59														1.999														1.767					1.399	1.421								2.355					1.843	1.865								2.8														1.85																																										1.777														1.766														1.979														1.498														
CPI-SS07CCAD9BF	GRN_SORT1	simple:P28799	simple:Q99523	ENSG00000030582	ENSG00000134243	True	False	True	IMEx,InnateDB-All,MINT	False	0.077																																																													0.905	0.834			0.777	0.748		0.856							0.938	0.867			0.811	0.781		0.89																																																																													0.716	0.645			0.589	0.559		0.668																														
CPI-SS061A7E099	CD55_ADGRE5	simple:P08174	simple:P48960	ENSG00000196352	ENSG00000123146	True	True	True	curated	False	0.077																																																0.477														0.581						0.501						0.51		0.678	0.53			0.419	0.449	0.599																																																		0.416														0.517														0.613	0.464					0.534								0.476																						
CPI-SS03133B4F2	TFRC_TNFSF13B	simple:P02786	simple:Q9Y275	ENSG00000072274	ENSG00000102524	True	True	False	IMEx,IntAct	False	0.077																																															0.725	0.881								1.388																																																0.863								1.37																			0.732	0.889								1.396																																										1.569					10.817	10.973			10.321	10.271		10.609		11.48
CPI-SS014958F32	LGALS9_CD47	simple:O00182	simple:Q08722	ENSG00000168961	ENSG00000196776	True	False	True	InnateDB-All	False	0.082																																											14.884													33.803	15.03													33.95	15.017													33.937															14.753													33.673															14.881													33.801															14.968													33.887	14.879													33.798	14.828													33.748
CPI-SC0E9C058EB	PLAUR_a4b1 complex	simple:Q03405	complex:a4b1 complex	ENSG00000011422		True	True	False	curated	True	0.082																																																									0.911					0.759	0.68	2.413			0.97									0.734		2.388			0.945																																																																										0.881					0.729		2.384			0.94																		0.824					0.672		2.327			0.883			
CPI-SS04F3A1E5C	COPA_SORT1	simple:P53621	simple:Q99523	ENSG00000122218	ENSG00000134243	True	False	True	IMEx,InnateDB-All,IntAct,MatrixDB	False	0.087																																															0.377														0.505	0.434						0.457							0.443	0.372						0.395							0.453	0.382						0.405																																			0.397	0.326																																																							1.435	1.364			1.307	1.278		1.386		
CPI-SS0419B80C4	LGALS9_LRP1	simple:O00182	simple:Q07954	ENSG00000168961	ENSG00000123384	True	False	True	InnateDB-All	False	0.087																																															0.689	0.736						0.526							0.836	0.883						0.673							0.823	0.87						0.66																																																	0.687	0.734						0.524																					0.773	0.82						0.61							0.684	0.731																						
CPI-SC06364D669	FN1_a4b1 complex	simple:P02751	complex:a4b1 complex	ENSG00000115414		True	False	False	curated	True	0.087																																																																							1.261	1.12			0.972	1.109	1.031	2.764			1.32	0.893	0.999																																																																								1.236	1.095			0.947	1.084	1.005	2.738			1.295		0.973																													
CPI-SC08923F7F7	F11R_aLb2 complex	simple:Q9Y624	complex:aLb2 complex	ENSG00000158769		False	True	False	curated	True	0.087																																												0.55			0.454	0.573	0.735				0.467	0.463				0.522				0.546	0.708				0.44									0.508	0.67																																																							0.49	0.652																											0.5	0.662																												0.596							
CPI-SS01946BE5C	C5AR1_RPS19	simple:P21730	simple:P39019	ENSG00000197405	ENSG00000105372	False	True	False	guidetopharmacology.org	False	0.087																																																										6.782		5.819			5.817			5.648	7.014	6.025				6.939		5.975			5.973			5.805	7.17	6.181																																																																										6.751		5.787						5.617	6.982	5.993																														
CPI-SC0329D5397	ICAM3_aLb2 complex	simple:P32942	complex:aLb2 complex	ENSG00000076662		False	False	False	curated	True	0.087																																			0.625													0.528	0.69													0.536	0.698													0.533	0.695													0.528	0.69													0.666	0.828																											0.493	0.655													0.524	0.686														0.553																												0.698							
CPI-SC098C06330	TGFB1_TGFbeta receptor1	simple:P01137	complex:TGFbeta receptor1	ENSG00000105329		True	False	True	curated	False	0.092															0.32	0.421												0.619															0.324	0.425												0.623		0.358												0.555															0.367	0.468												0.665														0.522														0.515		0.355												0.553																														0.365												0.562														0.565
CPI-SS0C28FEC7D	TNFSF13_TNFRSF14	simple:O75888	simple:Q92956	ENSG00000161955	ENSG00000157873	True	False	True	I2D,InnateDB-All	False	0.097																																																									0.425				0.28	0.333	0.317				0.271				0.471			0.269	0.325	0.378	0.362				0.316	0.278																																																		0.234																							0.465			0.264	0.32	0.373	0.357				0.311																															
CPI-SS0DA033F03	TNFRSF1A_GRN	simple:P19438	simple:P28799	ENSG00000067182	ENSG00000030582	True	True	False	IMEx,InnateDB-All,MINT	False	0.102																																															0.777	0.81						0.588							0.781	0.814						0.592							0.889	0.922						0.7																																			0.873	0.906													0.783	0.816						0.594																					0.899	0.932						0.71							0.765	0.798						0.576																
